"N","ExpectedLength","Method","M","m"
44,23.2199004253409,"Analog to Clopper-Pearson",25,15
45,24.0242385082896,"Analog to Clopper-Pearson",25,15
46,24.8214396530511,"Analog to Clopper-Pearson",25,15
47,25.6119496266181,"Analog to Clopper-Pearson",25,15
48,26.3970210422855,"Analog to Clopper-Pearson",25,15
49,27.178272585566,"Analog to Clopper-Pearson",25,15
50,27.9572338600476,"Analog to Clopper-Pearson",25,15
51,28.7309911208615,"Analog to Clopper-Pearson",25,15
52,29.4859023880188,"Analog to Clopper-Pearson",25,15
53,30.1941197808384,"Analog to Clopper-Pearson",25,15
54,30.8153359655489,"Analog to Clopper-Pearson",25,15
55,31.3028527879103,"Analog to Clopper-Pearson",25,15
56,31.6113710029061,"Analog to Clopper-Pearson",25,15
57,31.7039828215842,"Analog to Clopper-Pearson",25,15
58,31.5568437539768,"Analog to Clopper-Pearson",25,15
59,31.1610933512337,"Analog to Clopper-Pearson",25,15
60,30.5223701197995,"Analog to Clopper-Pearson",25,15
61,29.6586409953429,"Analog to Clopper-Pearson",25,15
62,28.5971270269952,"Analog to Clopper-Pearson",25,15
63,27.370985207799,"Analog to Clopper-Pearson",25,15
64,26.0162127152203,"Analog to Clopper-Pearson",25,15
65,24.5690459920465,"Analog to Clopper-Pearson",25,15
66,23.0639690342294,"Analog to Clopper-Pearson",25,15
67,21.5323339724036,"Analog to Clopper-Pearson",25,15
68,20.0015294728546,"Analog to Clopper-Pearson",25,15
69,18.494599470762,"Analog to Clopper-Pearson",25,15
70,17.0302058723087,"Analog to Clopper-Pearson",25,15
71,15.6228349299736,"Analog to Clopper-Pearson",25,15
72,14.2831609392813,"Analog to Clopper-Pearson",25,15
73,13.0184978309171,"Analog to Clopper-Pearson",25,15
74,11.8332860764167,"Analog to Clopper-Pearson",25,15
75,10.7295774009033,"Analog to Clopper-Pearson",25,15
76,9.70749235904703,"Analog to Clopper-Pearson",25,15
77,8.76563573146718,"Analog to Clopper-Pearson",25,15
78,7.90146212618833,"Analog to Clopper-Pearson",25,15
79,7.11158947330992,"Analog to Clopper-Pearson",25,15
80,6.39206168168776,"Analog to Clopper-Pearson",25,15
81,5.73856397213758,"Analog to Clopper-Pearson",25,15
82,5.14659565502104,"Analog to Clopper-Pearson",25,15
83,4.61160566568359,"Analog to Clopper-Pearson",25,15
84,4.12909623496599,"Analog to Clopper-Pearson",25,15
85,3.69469982644079,"Analog to Clopper-Pearson",25,15
86,3.30423404435864,"Analog to Clopper-Pearson",25,15
87,2.95373869708205,"Analog to Clopper-Pearson",25,15
88,2.63949865200069,"Analog to Clopper-Pearson",25,15
89,2.35805557994594,"Analog to Clopper-Pearson",25,15
90,2.10621118453685,"Analog to Clopper-Pearson",25,15
91,1.8810240580516,"Analog to Clopper-Pearson",25,15
92,1.67980190598521,"Analog to Clopper-Pearson",25,15
93,1.50009053800218,"Analog to Clopper-Pearson",25,15
94,1.33966073094471,"Analog to Clopper-Pearson",25,15
95,1.19649382552684,"Analog to Clopper-Pearson",25,15
96,1.06876671707984,"Analog to Clopper-Pearson",25,15
97,0.954836736709759,"Analog to Clopper-Pearson",25,15
98,0.853226787122715,"Analog to Clopper-Pearson",25,15
99,0.762610992178034,"Analog to Clopper-Pearson",25,15
100,0.681801036450696,"Analog to Clopper-Pearson",25,15
101,0.609733306768617,"Analog to Clopper-Pearson",25,15
102,0.545456898424932,"Analog to Clopper-Pearson",25,15
103,0.488122511648393,"Analog to Clopper-Pearson",25,15
104,0.436972236509963,"Analog to Clopper-Pearson",25,15
105,0.39133020472771,"Analog to Clopper-Pearson",25,15
106,0.350594073141811,"Analog to Clopper-Pearson",25,15
107,0.314227294611613,"Analog to Clopper-Pearson",25,15
108,0.281752126642003,"Analog to Clopper-Pearson",25,15
109,0.252743325299343,"Analog to Clopper-Pearson",25,15
110,0.226822471230302,"Analog to Clopper-Pearson",25,15
111,0.203652875300265,"Analog to Clopper-Pearson",25,15
112,0.182935013092131,"Analog to Clopper-Pearson",25,15
113,0.16440243991895,"Analog to Clopper-Pearson",25,15
114,0.147818140850803,"Analog to Clopper-Pearson",25,15
115,0.132971273345494,"Analog to Clopper-Pearson",25,15
116,0.11967426326128,"Analog to Clopper-Pearson",25,15
117,0.107760218213797,"Analog to Clopper-Pearson",25,15
118,0.0970806253445264,"Analog to Clopper-Pearson",25,15
119,0.0875033035438654,"Analog to Clopper-Pearson",25,15
120,0.0789105829851201,"Analog to Clopper-Pearson",25,15
121,0.0711976874570607,"Analog to Clopper-Pearson",25,15
122,0.064271297422594,"Analog to Clopper-Pearson",25,15
123,0.0580482739774992,"Analog to Clopper-Pearson",25,15
124,0.0524545259391877,"Analog to Clopper-Pearson",25,15
125,0.047424004167893,"Analog to Clopper-Pearson",25,15
126,0.042897808920786,"Analog to Clopper-Pearson",25,15
127,0.0388233975739532,"Analog to Clopper-Pearson",25,15
128,0.0351538814294815,"Analog to Clopper-Pearson",25,15
129,0.0318474015668324,"Analog to Clopper-Pearson",25,15
130,0.02886657481097,"Analog to Clopper-Pearson",25,15
131,0.0261780018856689,"Analog to Clopper-Pearson",25,15
132,0.0237518307099056,"Analog to Clopper-Pearson",25,15
133,0.0215613685884296,"Analog to Clopper-Pearson",25,15
134,0.0195827377540209,"Analog to Clopper-Pearson",25,15
135,0.0177945693473672,"Analog to Clopper-Pearson",25,15
136,0.0161777314789956,"Analog to Clopper-Pearson",25,15
137,0.0147150875136464,"Analog to Clopper-Pearson",25,15
138,0.0133912811575674,"Analog to Clopper-Pearson",25,15
139,0.0121925453194891,"Analog to Clopper-Pearson",25,15
140,0.0111065320619862,"Analog to Clopper-Pearson",25,15
141,0.0101221612664287,"Analog to Clopper-Pearson",25,15
142,0.00922948590619883,"Analog to Clopper-Pearson",25,15
143,0.00841957206321685,"Analog to Clopper-Pearson",25,15
144,0.0076843920356101,"Analog to Clopper-Pearson",25,15
145,0.00701672907270327,"Analog to Clopper-Pearson",25,15
146,0.00641009244019471,"Analog to Clopper-Pearson",25,15
147,0.00585864166589702,"Analog to Clopper-Pearson",25,15
148,0.00535711894696168,"Analog to Clopper-Pearson",25,15
149,0.00490078881503258,"Analog to Clopper-Pearson",25,15
150,0.00448538425801454,"Analog to Clopper-Pearson",25,15
151,0.00410705858763633,"Analog to Clopper-Pearson",25,15
152,0.00376234242209203,"Analog to Clopper-Pearson",25,15
153,0.00344810522396253,"Analog to Clopper-Pearson",25,15
154,0.00316152089641539,"Analog to Clopper-Pearson",25,15
155,0.00290003699629552,"Analog to Clopper-Pearson",25,15
156,0.00266134717198507,"Analog to Clopper-Pearson",25,15
157,0.00244336647756029,"Analog to Clopper-Pearson",25,15
158,0.00224420925345932,"Analog to Clopper-Pearson",25,15
159,0.00206216929816801,"Analog to Clopper-Pearson",25,15
160,0.00189570208584042,"Analog to Clopper-Pearson",25,15
161,0.00174340881174355,"Analog to Clopper-Pearson",25,15
162,0.00160402207134714,"Analog to Clopper-Pearson",25,15
163,0.00147639300011996,"Analog to Clopper-Pearson",25,15
164,0.00135947971995158,"Analog to Clopper-Pearson",25,15
165,0.001252336954866,"Analog to Clopper-Pearson",25,15
166,0.00115410669357336,"Analog to Clopper-Pearson",25,15
167,0.00106400978962871,"Analog to Clopper-Pearson",25,15
168,0.000981338401724023,"Analog to Clopper-Pearson",25,15
169,0.000905449187095083,"Analog to Clopper-Pearson",25,15
170,0.000835757170327775,"Analog to Clopper-Pearson",25,15
171,0.000771730218127865,"Analog to Clopper-Pearson",25,15
172,0.000712884057990576,"Analog to Clopper-Pearson",25,15
173,0.000658777785272544,"Analog to Clopper-Pearson",25,15
174,0.000609009809019878,"Analog to Clopper-Pearson",25,15
175,0.000563214192121764,"Analog to Clopper-Pearson",25,15
176,0.000521057346010177,"Analog to Clopper-Pearson",25,15
177,0.000482235044275707,"Analog to Clopper-Pearson",25,15
178,0.000446469723272659,"Analog to Clopper-Pearson",25,15
179,0.000413508041092951,"Analog to Clopper-Pearson",25,15
180,0.000383118669241497,"Analog to Clopper-Pearson",25,15
181,0.000355090293984587,"Analog to Clopper-Pearson",25,15
182,0.000329229806701632,"Analog to Clopper-Pearson",25,15
183,0.000305360664680169,"Analog to Clopper-Pearson",25,15
184,0.000283321405681184,"Analog to Clopper-Pearson",25,15
185,0.000262964301290978,"Analog to Clopper-Pearson",25,15
186,0.000244154135588092,"Analog to Clopper-Pearson",25,15
187,0.000226767097008527,"Analog to Clopper-Pearson",25,15
188,0.000210689772506421,"Analog to Clopper-Pearson",25,15
189,0.000195818234195585,"Analog to Clopper-Pearson",25,15
190,0.000182057209633309,"Analog to Clopper-Pearson",25,15
191,0.000169319327783494,"Analog to Clopper-Pearson",25,15
192,0.00015752443348214,"Analog to Clopper-Pearson",25,15
193,0.000146598963933966,"Analog to Clopper-Pearson",25,15
194,0.000136475381402886,"Analog to Clopper-Pearson",25,15
195,0.000127091656828828,"Analog to Clopper-Pearson",25,15
196,0.000118390799615539,"Analog to Clopper-Pearson",25,15
197,0.000110320429294726,"Analog to Clopper-Pearson",25,15
198,0.00010283238518633,"Analog to Clopper-Pearson",25,15
199,9.58823705478407e-05,"Analog to Clopper-Pearson",25,15
200,8.94296280415013e-05,"Analog to Clopper-Pearson",25,15
50,53,"Analog to Clopper-Pearson",50,5
51,56.2352941176471,"Analog to Clopper-Pearson",50,5
52,59.4366515837104,"Analog to Clopper-Pearson",50,5
53,62.60407239819,"Analog to Clopper-Pearson",50,5
54,65.7382205906068,"Analog to Clopper-Pearson",50,5
55,68.8401344616661,"Analog to Clopper-Pearson",50,5
56,71.9110597135014,"Analog to Clopper-Pearson",50,5
57,74.9523505487639,"Analog to Clopper-Pearson",50,5
58,77.9654091266617,"Analog to Clopper-Pearson",50,5
59,80.9516472364763,"Analog to Clopper-Pearson",50,5
60,83.9124612756598,"Analog to Clopper-Pearson",50,5
61,86.8492155291174,"Analog to Clopper-Pearson",50,5
62,89.7632308788493,"Analog to Clopper-Pearson",50,5
63,92.655777245529,"Analog to Clopper-Pearson",50,5
64,95.5280687136332,"Analog to Clopper-Pearson",50,5
65,98.3812606565708,"Analog to Clopper-Pearson",50,5
66,101.216448387407,"Analog to Clopper-Pearson",50,5
67,104.034666985198,"Analog to Clopper-Pearson",50,5
68,106.836892025445,"Analog to Clopper-Pearson",50,5
69,109.624040996685,"Analog to Clopper-Pearson",50,5
70,112.39697522496,"Analog to Clopper-Pearson",50,5
71,115.156502159575,"Analog to Clopper-Pearson",50,5
72,117.903377900034,"Analog to Clopper-Pearson",50,5
73,120.638309866807,"Analog to Clopper-Pearson",50,5
74,123.361959538205,"Analog to Clopper-Pearson",50,5
75,126.074945192528,"Analog to Clopper-Pearson",50,5
76,128.777844609003,"Analog to Clopper-Pearson",50,5
77,131.47119769307,"Analog to Clopper-Pearson",50,5
78,134.155509001503,"Analog to Clopper-Pearson",50,5
79,136.831250150884,"Analog to Clopper-Pearson",50,5
80,139.498862099347,"Analog to Clopper-Pearson",50,5
81,142.158757296508,"Analog to Clopper-Pearson",50,5
82,144.811321700274,"Analog to Clopper-Pearson",50,5
83,147.456916662094,"Analog to Clopper-Pearson",50,5
84,150.095880684181,"Analog to Clopper-Pearson",50,5
85,152.72853105373,"Analog to Clopper-Pearson",50,5
86,155.355165359976,"Analog to Clopper-Pearson",50,5
87,157.976062900576,"Analog to Clopper-Pearson",50,5
88,160.591485983941,"Analog to Clopper-Pearson",50,5
89,163.201681134299,"Analog to Clopper-Pearson",50,5
90,165.806880206086,"Analog to Clopper-Pearson",50,5
91,168.407301414078,"Analog to Clopper-Pearson",50,5
92,171.00315028544,"Analog to Clopper-Pearson",50,5
93,173.594620539451,"Analog to Clopper-Pearson",50,5
94,176.181894900469,"Analog to Clopper-Pearson",50,5
95,178.765145849193,"Analog to Clopper-Pearson",50,5
96,181.344536317052,"Analog to Clopper-Pearson",50,5
97,183.920220328166,"Analog to Clopper-Pearson",50,5
98,186.492343592969,"Analog to Clopper-Pearson",50,5
99,189.06104405736,"Analog to Clopper-Pearson",50,5
100,191.62645241084,"Analog to Clopper-Pearson",50,5
101,194.188692556954,"Analog to Clopper-Pearson",50,5
102,196.747882048957,"Analog to Clopper-Pearson",50,5
103,199.304132493482,"Analog to Clopper-Pearson",50,5
104,201.857549924758,"Analog to Clopper-Pearson",50,5
105,204.408235151642,"Analog to Clopper-Pearson",50,5
106,206.95628407961,"Analog to Clopper-Pearson",50,5
107,209.501788009619,"Analog to Clopper-Pearson",50,5
108,212.044833915648,"Analog to Clopper-Pearson",50,5
109,214.585504702371,"Analog to Clopper-Pearson",50,5
110,217.12387944454,"Analog to Clopper-Pearson",50,5
111,219.660033609261,"Analog to Clopper-Pearson",50,5
112,222.194039262267,"Analog to Clopper-Pearson",50,5
113,224.725965259246,"Analog to Clopper-Pearson",50,5
114,227.255877422964,"Analog to Clopper-Pearson",50,5
115,229.783838706962,"Analog to Clopper-Pearson",50,5
116,232.309909346346,"Analog to Clopper-Pearson",50,5
117,234.834146996151,"Analog to Clopper-Pearson",50,5
118,237.35660685759,"Analog to Clopper-Pearson",50,5
119,239.877341792376,"Analog to Clopper-Pearson",50,5
120,242.396402425255,"Analog to Clopper-Pearson",50,5
121,244.913837234815,"Analog to Clopper-Pearson",50,5
122,247.429692632351,"Analog to Clopper-Pearson",50,5
123,249.944013028797,"Analog to Clopper-Pearson",50,5
124,252.456840889449,"Analog to Clopper-Pearson",50,5
125,254.96821677623,"Analog to Clopper-Pearson",50,5
126,257.478179377216,"Analog to Clopper-Pearson",50,5
127,259.986765523138,"Analog to Clopper-Pearson",50,5
128,262.494010190543,"Analog to Clopper-Pearson",50,5
129,264.99994649131,"Analog to Clopper-Pearson",50,5
130,267.504605648299,"Analog to Clopper-Pearson",50,5
131,270.008016956873,"Analog to Clopper-Pearson",50,5
132,272.510207732141,"Analog to Clopper-Pearson",50,5
133,275.011203241789,"Analog to Clopper-Pearson",50,5
134,277.511026624566,"Analog to Clopper-Pearson",50,5
135,280.009698794375,"Analog to Clopper-Pearson",50,5
136,282.507238330211,"Analog to Clopper-Pearson",50,5
137,285.003661352147,"Analog to Clopper-Pearson",50,5
138,287.498981383802,"Analog to Clopper-Pearson",50,5
139,289.993209201731,"Analog to Clopper-Pearson",50,5
140,292.486352672239,"Analog to Clopper-Pearson",50,5
141,294.978416576472,"Analog to Clopper-Pearson",50,5
142,297.469402424433,"Analog to Clopper-Pearson",50,5
143,299.959308258893,"Analog to Clopper-Pearson",50,5
144,302.448128450122,"Analog to Clopper-Pearson",50,5
145,304.935853482597,"Analog to Clopper-Pearson",50,5
146,307.422469734761,"Analog to Clopper-Pearson",50,5
147,309.907959253076,"Analog to Clopper-Pearson",50,5
148,312.392299521666,"Analog to Clopper-Pearson",50,5
149,314.875463228844,"Analog to Clopper-Pearson",50,5
150,317.357418031974,"Analog to Clopper-Pearson",50,5
151,319.838126321898,"Analog to Clopper-Pearson",50,5
152,322.31754498845,"Analog to Clopper-Pearson",50,5
153,324.795625188526,"Analog to Clopper-Pearson",50,5
154,327.272312117926,"Analog to Clopper-Pearson",50,5
155,329.747544788489,"Analog to Clopper-Pearson",50,5
156,332.221255811843,"Analog to Clopper-Pearson",50,5
157,334.693371191019,"Analog to Clopper-Pearson",50,5
158,337.163810121354,"Analog to Clopper-Pearson",50,5
159,339.63248480168,"Analog to Clopper-Pearson",50,5
160,342.099300257082,"Analog to Clopper-Pearson",50,5
161,344.564154174339,"Analog to Clopper-Pearson",50,5
162,347.026936750847,"Analog to Clopper-Pearson",50,5
163,349.487530558195,"Analog to Clopper-Pearson",50,5
164,351.945810421016,"Analog to Clopper-Pearson",50,5
165,354.401643311977,"Analog to Clopper-Pearson",50,5
166,356.854888263508,"Analog to Clopper-Pearson",50,5
167,359.305396296833,"Analog to Clopper-Pearson",50,5
168,361.753010368794,"Analog to Clopper-Pearson",50,5
169,364.197565336796,"Analog to Clopper-Pearson",50,5
170,366.638887942173,"Analog to Clopper-Pearson",50,5
171,369.076796812166,"Analog to Clopper-Pearson",50,5
172,371.51110248056,"Analog to Clopper-Pearson",50,5
173,373.941607427091,"Analog to Clopper-Pearson",50,5
174,376.368106135402,"Analog to Clopper-Pearson",50,5
175,378.790385169487,"Analog to Clopper-Pearson",50,5
176,381.208223268361,"Analog to Clopper-Pearson",50,5
177,383.621391458658,"Analog to Clopper-Pearson",50,5
178,386.0296531847,"Analog to Clopper-Pearson",50,5
179,388.432764455717,"Analog to Clopper-Pearson",50,5
180,390.830474009538,"Analog to Clopper-Pearson",50,5
181,393.22252349244,"Analog to Clopper-Pearson",50,5
182,395.608647654254,"Analog to Clopper-Pearson",50,5
183,397.988574558324,"Analog to Clopper-Pearson",50,5
184,400.362025805351,"Analog to Clopper-Pearson",50,5
